project code,project name,criticality,
24X,Bank Recon System,high,
252,Kofax OCR,low,
25Y,PReS Connect,low,
26P,LA outsource sftp,low,
289,PCLAFNA,medium,
2A7,Win11 Cloud VDI - KHLIFE,high,
2AW,IFRS17ETL,high,
2CJ,DSR,low,
2D8,Win11 Cloud VDI - PHLIFE,high,
2DF,eInvoice(MoF Invoice standardized) Service,low,
2DK,WebSphere Upgrade to 9,low,
20000,Collection System,low,
2HS,Client,low,
2J2,Messaging,low,
2J7,TEST AUTO,low,
2JC,TMS_DMTM,low,
2KN,CMS copy,medium,
2KX,PROCESSOR,low,
2M9,Automation Anywhere Cloud Migration,low,
2QH,AISUU,low,
2QK,ME 3.0,low,
2QR,TeeUp,low,
2R8,PHKL PRUOne,high,
2S6,Claims,low,
2TR,DevOps,low,
2XB,IOC Cloud Ops Ansible Roles,low,
2YX,Imperva,low,
334,PRURIDER,low,
34Z,Prophet,low,
358,APIM- Finance Modernization,high,
35X,dgcoe_collibra,low,
36Q,Regional Claims System,medium,
37C,Smart Claim,low,
37F,PRUtxt,low,
3AP,Tango 4,low,
3B5,tfs,low,
3DE,PCLABGSVC,medium,
3EC,iQuotation,low,
3EY,api,low,
3F8,PHKL AKS,medium,
3KV,PruForce,low,
3M8,PHKL Payment Gateway,high,
3MP,Win11 Cloud VDI - IDLIFE,high,
3ND,PHKLSTT,low,
3NF,PLT IFRS17,medium,
3NW,Queue Management System,low,
3QS,Web Portal,low,
3R3,Prudential Financial Adviser,low,
3R7,Microservices API,medium,
3RG,PVA - Automation Testing,medium,
3RY,eForms (FrontEnd),low,
3SP,MagumPure UW,low,
3U7,PruRecruit,low,
3UZ,Unified Data Platform - UDP (aka. DataLake),low,
3W4,Redhat Satellite,low,
3WN,Prudirect,medium,
3WS,GCP Security Command Center Notification,low,
3WT,Prophet (Actuarial),low,
3WZ,GTE CF Self-Service Tool - APIM Config Repositories,medium,
3YA,Alteryx,low,
3YJ,SMS,high,
3YV,PLT APIs,low,
3ZS,GCP_Dev_Prophet,low,
42C,IOC Cloud Ops Ansible Playbooks,low,
42H,NB/POS FollowUp,low,
42M,Smart Claim,low,
433,EAI,low,
43P,PHKL SRE Monitoring,low,
443,Unified Asia End User VPN Service,high,
44S,JOBREQ,low,
457,eForms,low,
45M,Digital Platform,low,
47P,agency portal,high,
48N,Tool Sets,low,
48Y,MMLIFECALCULATOR,low,
494,Online POE/OnePOS,high,
4AJ,Africa Sunrise,low,
4B5,Test Automation,low,
4CK,GTE CF Fabric layer components,medium,
4CZ,Fortify,low,
4D8,BPM,high,
4DC,Pulse Backend API,low,
4DX,PACSANALYTICS,low,
4EE,PRUSales Enterprise (PSE),low,
4EN,Puppet On-prem,high,
4FW,Payment Hub,low,
4H9,Citrix,low,
4HD,varonis,low,
4HP,PHKL FFP Actuarial,medium,
4JK,API HealthCheck,medium,
4KQ,CWS,medium,
4KR,Online Selling Portal,low,
4KS,Win11 Cloud VDI - P1100,high,
4MB,SMS Mitracomm,low,
4MG,AMLScreening (filesrv Tool),low,
4P5,3rd Party Payor AML,low,
4PC,CSBO,high,
4QA,AMS - Asset Management System,low,
4QV,RDCService,low,
4QW,Win11 Cloud VDI - pss(sdbo),high,
4SS,PTPLA RND,low,
4TD,PruLeads,low,
4VH,Timekeeping,low,
4W3,PRUWorks,high,
4WK,CustWebAPI,low,
4XK,logical sql server,low,
4YC,ES 3.0,low,
4Z4,Jimmy - GTO IT Integrated Dashboard (UAT),low,
527,PCLAPRUFP,medium,
52J,Win11 Cloud VDI - SGESIV,high,
53X,Couchbase,low,
54G,ePos,high,
54K,AKS,low,
588,PACS Core Infrastructure,low,
58F,PCLAMYPRU,medium,
5A4,VM Operations - LALIFE,low,
5AE,AKV,low,
5AH,One Pulse,low,
5BG,Win11 Cloud VDI - inlife,high,
5CT,Prulens,low,
5D6,Proposal Submission System,medium,
5DT,Win11 Cloud VDI - eis,high,
5DW,SAS,low,
5H6,iRequest,low,
5H9,Win11 Cloud VDI - TechM,high,
5M4,PLT INT,low,
5N4,Africa TACACS,medium,
5N9,Smart Claim,low,
5P7,eInvoice(PAMB),high,
5PR,Actuarial Cloud,low,
5QB,compliance,low,
5QM,NBAcustom activity app,low,
5QV,PRUClock,high,
5TR,FKAS,high,
5TS,Payment Gateway,medium,
5UZ,RightFax,low,
5VS,Kenya Application,low,
5W3,ForcePoint,medium,
5XF,eQuotes,high,
5XK,Common Bank Interface,low,
5XW,Win11 Cloud VDI - pss(proc),high,
5Y8,AKS Pruforce,high,
5YA,Group Actuarial,medium,
5ZQ,Claims AI,low,
625,Win11 Cloud VDI - AFPRHO,high,
63Z,eClaims (PruAccess),low,
642,Underwriting Aggregation Program,medium,
64A,AI OCR Service,medium,
64D,EB Portal,low,
64Z,EB,low,
66Y,PCLAPRUSERVICES,medium,
69F,Blueprism,low,
69X,PRUOne Express (POE),high,
6A5,CTRLM,low,
6B6,ePayment,low,
6BC,CRM,low,
600000000,iPay,high,
6EY,IGW,low,
6H7,Kafka,low,
6HR,Jasper-PCS,medium,
6J2,AMS - Asset Management System,low,
6J3,APIM,low,
6JE,VM Operations - EISSS,low,
6JU,RTS,medium,
6MQ,MOS-Act,high,
6PK,PHKL - Operator server application,low,
6PQ,UDA,low,
6Q8,CusSearch,medium,
6RC,BPM STP,high,
6TF,One Pulse,low,
6UJ,PruAI Lab Sandbox,low,
6VD,EDIS,low,
6WD,H2H,low,
6WR,windows_testing,low,
6YQ,PSF,low,
6YX,Observer IT,low,
6ZN,ePOS Zambia/Uganda,high,
72A,HRMS - Candidate Recruitment,medium,
72S,IFRS,low,
73G,SME,low,
743,UDP DataHub,high,
74P,EITH PVD Digital Platform,high,
75G,REAL TIME PROD,low,
76U,WelcomeVideo,high,
77X,attunity,low,
7B3,FSVAL,low,
7BD,PreAuth - Smart Claims,low,
7BR,PVA-Legacymigration,medium,
7CY,e-Receipt,low,
7D4,UDP AI services,low,
